seq,task_id,title,category,type,screen,priority,route,page_entry,depends_on,requirement_ref,detail_file,detail_file_exists,verify,wave_id
1,DATA-DESTINATIONS,여행지 정적 데이터,Data,data,—,P0,—,—,,"REQ-FUNC-007(축소), REQ-FUNC-008, REQ-NF-026",TASK-DATA-DESTINATIONS.md,True,"TEST-DATA-VALIDATION(수량·필드 완전성), 코드 리뷰(alt 텍스트 존재 확인)",W02
2,DATA-SAFETY,국가 안전정보 정적 데이터,Data,data,—,P0,—,—,DATA-DESTINATIONS,"REQ-FUNC-046, REQ-FUNC-047, REQ-FUNC-048, REQ-FUNC-052, REQ-FUNC-053, REQ-NF-027",TASK-DATA-SAFETY.md,True,"TEST-DATA-VALIDATION, 코드 리뷰",W02
3,DATA-REPRESENTATIVE,대표 소개 정적 데이터,Data,data,—,P0,—,—,,"REQ-FUNC-057, REQ-FUNC-058, REQ-FUNC-059(축소), REQ-FUNC-060, REQ-FUNC-061(축소)",TASK-DATA-REPRESENTATIVE.md,True,"TEST-DATA-VALIDATION, 코드 리뷰",W02
4,DB-SCHEMA-BASE,Supabase 테이블 스키마(6종),DB,db,—,P0,—,—,,"(기반 인프라, REQ-FUNC-029, 031, 034, 040, 039, 077의 저장소 전제)",TASK-DB-SCHEMA-BASE.md,True,"코드 리뷰(스키마), TEST-RLS-BASIC",W03
5,DB-RLS-BASE,Supabase RLS 정책,DB,db,—,P0,—,—,DB-SCHEMA-BASE,"REQ-FUNC-044, REQ-FUNC-077, REQ-NF-013",TASK-DB-RLS-BASE.md,True,TEST-RLS-BASIC(권한별 부정 접근 테스트),W04
6,DB-ACCESS,Supabase Client/Server 접근 유틸,DB,db,—,P0,—,—,DB-SCHEMA-BASE,(모든 Supabase 쓰기 Task의 공통 기반),TASK-DB-ACCESS.md,True,"코드 리뷰, 빌드 산출물에서 시크릿 노출 검사",W04
7,DB-SEED-BASE,개발·테스트 시드 데이터,DB,db,—,P1,—,—,DB-SCHEMA-BASE,"(테스트 지원, REQ-FUNC-027~045 검증 전제)",TASK-DB-SEED-BASE.md,True,"TEST-RLS-BASIC, E2E-MATE-AUTH 실행으로 검증",W03
8,INFRA-AUTH-SESSION,Supabase Auth 세션·이메일 인증,Infra,infra,—,P0,—,—,DB-ACCESS,"REQ-FUNC-027, REQ-FUNC-066, REQ-NF-014",TASK-INFRA-AUTH-SESSION.md,True,"E2E-MATE-AUTH, 코드 리뷰",W04
9,INFRA-ADULT-VERIFICATION,성인확인 플래그 처리,Infra,infra,—,P1,—,—,DB-SCHEMA-BASE; INFRA-AUTH-SESSION,REQ-FUNC-028,TASK-INFRA-ADULT-VERIFICATION.md,True,"코드 리뷰(스키마 확인), E2E-MATE-AUTH",W05
10,INFRA-CONTACT-DETECTION,공개 연락처 탐지 유틸,Infra,infra,—,P1,—,—,,REQ-FUNC-032,TASK-INFRA-CONTACT-DETECTION.md,True,UNIT-CONTACT-DETECTION,W03
11,INFRA-USER-DELETE,탈퇴 시 즉시 비식별화,Infra,infra,—,P1,—,—,DB-SCHEMA-BASE; INFRA-AUTH-SESSION,"REQ-FUNC-045, REQ-NF-018",TASK-INFRA-USER-DELETE.md,True,"코드 리뷰, 수동 확인",W04
12,INFRA-EXTERNAL-LINK-SAFETY,외부 링크 새 탭·noopener 공용 유틸,Infra,infra,—,P1,—,—,,"REQ-FUNC-016, REQ-FUNC-024, REQ-FUNC-049",TASK-INFRA-EXTERNAL-LINK-SAFETY.md,True,"코드 리뷰, E2E-TRAVEL-TOOLS(속성 확인)",W03
13,INFRA-INPUT-VALIDATION,서버 입력 검증·이스케이프 공통 스키마,Infra,infra,—,P1,—,—,,REQ-NF-015,TASK-INFRA-INPUT-VALIDATION.md,True,"코드 리뷰, API 통합 테스트(각 API Task Verify에 포함)",W03
14,API-MATE-POSTS,동행 모집글 생성·수정·마감·삭제,API,api,SCR-003/SCR-005,P1,—,—,DB-SCHEMA-BASE; DB-RLS-BASE; DB-ACCESS; INFRA-AUTH-SESSION; INFRA-ADULT-VERIFICATION; INFRA-CONTACT-DETECTION; INFRA-INPUT-VALIDATION,"REQ-FUNC-031, REQ-FUNC-032, REQ-FUNC-037(축소), REQ-FUNC-038",TASK-API-MATE-POSTS.md,True,"UNIT-MATE-STATE, E2E-MATE-AUTH",W06
15,API-MATE-APPLICATIONS,참가 요청 생성·승인·거절,API,api,SCR-004/SCR-005,P1,—,—,DB-SCHEMA-BASE; DB-RLS-BASE; DB-ACCESS; INFRA-AUTH-SESSION; INFRA-ADULT-VERIFICATION; INFRA-INPUT-VALIDATION,"REQ-FUNC-034, REQ-FUNC-035, REQ-FUNC-036",TASK-API-MATE-APPLICATIONS.md,True,"UNIT-MATE-STATE, TEST-RLS-BASIC, E2E-MATE-AUTH",W06
